Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.04, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of ( 0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of ( 0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.04, 0.99) is:   0.99
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.03, 0.01, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.03, 0.01, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.00, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.01, 0.94) is:   0.94
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.02, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of ( 0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.02, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.04, 0.98) is:   0.99
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.01, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.02, 0.01, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.03, 0.01, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.01, 0.95) is:   0.95
Magnitude of (-0.00, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.02, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of ( 0.01, 0.04, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.04, 0.98) is:   0.99
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.02, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.02, 0.01, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.03, 0.01, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.01, 0.94) is:   0.94
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of ( 0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of ( 0.01, 0.04, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.03, 0.02, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.03, 0.01, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.03, 0.01, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.95) is:   0.95
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.02, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of ( 0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.00, 0.04, 0.98) is:   0.98
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.02, 0.01, 0.98) is:   0.98
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.03, 0.01, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.02, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.02, 0.02, 0.97) is:   0.97
Magnitude of (-0.02, 0.00, 0.95) is:   0.95
Magnitude of (-0.01, 0.02, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.95) is:   0.95
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.00, 0.04, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.04, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.02, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.01, 0.96) is:   0.96
Magnitude of (-0.01, 0.01, 0.96) is:   0.96
Magnitude of (-0.01, 0.01, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.98) is:   0.99
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.02, 0.01, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.03, 0.01, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.02, 0.01, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.95) is:   0.95
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.96) is:   0.96
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.04, 0.98) is:   0.98
Magnitude of (-0.00, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.00, 0.03, 0.98) is:   0.98
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.96) is:   0.96
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.02, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
Magnitude of (-0.01, 0.03, 0.97) is:   0.97
